technology,parameter,value,unit,source,further description
H2 (g) fill compressor station,investment,4478.0,EUR/MW_H2,"Danish Energy Agency, Technology Data for Energy Transport (2021), pg. 164, Figure 14 (Fill compressor).","Assumption for staging 35→140bar, 6000 MW_HHV single line pipeline. Considering HHV/LHV ration for H2."
H2 (g) fill compressor station,lifetime,20.0,years,"Danish Energy Agency, Technology Data for Energy Transport (2021), pg. 168, Figure 24 (Fill compressor).",
H2 (g) pipeline,FOM,1.5,%/year,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.","Assumption for a 140 bar, > 6000 MW_HHV single line pipeline, incl. booster station investments. Considering LHV by scaling with LHV/HHV=0.8462623413."
H2 (g) pipeline,investment,226.47,EUR/MW/km,European Hydrogen Backbone Report (June 2021): https://gasforclimate2050.eu/wp-content/uploads/2021/06/EHB_Analysing-the-future-demand-supply-and-transport-of-hydrogen_June-2021.pdf.,"Assumption for-48 inch single line pipeline, incl. compressor investments, 16.9 GW peak capacity, 2750 EUR/m, 434 MWe/1000 km for compressor, 3.4 MEUR/MWe for compressor, from European Hydrogen Backbone Report, Table 35."
H2 (g) pipeline,lifetime,50.0,years,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.","Assumption for a 140 bar, > 6000 MW_HHV single line pipeline, incl. booster station investments. Considering LHV by scaling with LHV/HHV=0.8462623413."
H2 (g) pipeline repurposed,FOM,1.5,%/year,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",Same as for new H2 (g) pipeline.
H2 (g) pipeline repurposed,investment,105.88,EUR/MW/km,European Hydrogen Backbone Report (June 2021): https://gasforclimate2050.eu/wp-content/uploads/2021/06/EHB_Analysing-the-future-demand-supply-and-transport-of-hydrogen_June-2021.pdf.,"Assumption for 48-inch single line pipeline, incl. compressor investments, 16.9 GW peak capacity, 500 EUR/m, 434 MWe/1000 km for compressor, 3.4 MEUR/MWe for compressor, from European Hydrogen Backbone Report, Table 35."
H2 (g) pipeline repurposed,lifetime,50.0,years,"Danish Energy Agency, Technology Data for Energy Transport (2021), Excel datasheet: H2 140.",Same as for new H2 (g) pipeline.
H2 (g) submarine pipeline,FOM,3.0,%/year,Assume same as for CH4 (g) submarine pipeline.,-
H2 (g) submarine pipeline,investment,329.37,EUR/MW/km,"Assume similar cost as for CH4 (g) submarine pipeline but with the same factor as between onland CH4 (g) pipeline and H2 (g) pipeline (2.86). This estimate is comparable to a 36in diameter pipeline calaculated based on d’Amore-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material (=251 EUR/MW/km).",-
H2 (g) submarine pipeline,lifetime,30.0,years,Assume same as for CH4 (g) submarine pipeline.,-
H2 (l) storage tank,FOM,2.0,%/year,"Reuß et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 6.",Assuming currency year and technology year here (25 EUR/kg).
H2 (l) storage tank,investment,750.08,EUR/MWh_H2,"Reuß et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 6.","Assuming currency year and technology year here (25 EUR/kg). Future target cost. Today’s cost potentially higher according to d’Amore-Domenech et al (2021): 10.1016/j.apenergy.2021.116625 , supplementary material pg. 16."
H2 (l) storage tank,lifetime,20.0,years,"Reuß et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 6.",Assuming currency year and technology year here (25 EUR/kg).
H2 (l) transport ship,FOM,4.0,%/year,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",
H2 (l) transport ship,capacity,11000.0,t_H2,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",
H2 (l) transport ship,investment,361223561.58,EUR,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",
H2 (l) transport ship,lifetime,20.0,years,"Cihlar et al 2020: http://op.europa.eu/en/publication-detail/-/publication/7e4afa7d-d077-11ea-adf7-01aa75ed71a1/language-en , Table 3-B, based on IEA 2019.",
H2 evaporation,FOM,2.5,%/year,"DNV GL (2020): Study on the Import of Liquid Renewable Energy: Technology Cost Assessment, https://www.gie.eu/wp-content/uploads/filr/2598/DNV-GL_Study-GLE-Technologies-and-costs-analysis-on-imports-of-liquid-renewable-energy.pdf .",
H2 evaporation,investment,56.59,EUR/kW_H2,"IRENA (2022): Global Hydrogen Trade to Meet the 1.5° Climate Goal: Technology Review of Hydrogen Carriers, https://www.irena.org/publications/2022/Apr/Global-hydrogen-trade-Part-II , pg. 62f.","Pessimistic assumption for large scale facility / near-term estimate for medium sized facility, in between low / mid estimate with e.g. DNV numbers (Fig. 3.15).; and
Optimistic assumption for large scale facility 2500 t/d, cf Fig. 3.15 ."
H2 evaporation,lifetime,20.0,years,Guesstimate.,Based on lifetime of liquefaction plant.
H2 liquefaction,FOM,2.5,%/year,"DNV GL (2020): Study on the Import of Liquid Renewable Energy: Technology Cost Assessment, https://www.gie.eu/wp-content/uploads/filr/2598/DNV-GL_Study-GLE-Technologies-and-costs-analysis-on-imports-of-liquid-renewable-energy.pdf .",
H2 liquefaction,electricity-input,0.2,MWh_el/MWh_H2,"Heuser et al. (2019): Techno-economic analysis of a potential energy trading link between Patagonia and Japan based on CO2 free hydrogen (https://doi.org/10.1016/j.ijhydene.2018.12.156), table 1.","6.78 kWh/kg_H2, considering H2 with LHV of 33.3333 MWh/t"
H2 liquefaction,hydrogen-input,1.02,MWh_H2/MWh_H2,"Heuser et al. (2019): Techno-economic analysis of a potential energy trading link between Patagonia and Japan based on CO2 free hydrogen (https://doi.org/10.1016/j.ijhydene.2018.12.156), table 1.",corresponding to 1.65% losses during liquefaction
H2 liquefaction,investment,522.34,EUR/kW_H2,"IRENA (2022): Global Hydrogen Trade to Meet the 1.5° Climate Goal: Technology Review of Hydrogen Carriers, https://www.irena.org/publications/2022/Apr/Global-hydrogen-trade-Part-II , pg. 62f.","Assumption for a 200t/d facility (Pessimistic long-term or optimistic short-term value).; and
Assumption for a large >300t/d, e.g. 2500 t/d facility (Optimistic long-term value without change in base technology mentioned in report)."
H2 liquefaction,lifetime,20.0,years,"Reuß et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9.",
H2 pipeline,FOM,3.0,%/year,TODO, from old pypsa cost assumptions
H2 pipeline,investment,267.0,EUR/MW/km,Welder et al https://doi.org/10.1016/j.energy.2018.05.059, from old pypsa cost assumptions
H2 pipeline,lifetime,40.0,years,TODO, from old pypsa cost assumptions
HVAC overhead,FOM,2.0,%/year,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",
HVAC overhead,investment,432.97,EUR/MW/km,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",
HVAC overhead,lifetime,40.0,years,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",
HVDC inverter pair,FOM,2.0,%/year,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",
HVDC inverter pair,investment,162364.82,EUR/MW,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",
HVDC inverter pair,lifetime,40.0,years,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",
HVDC overhead,FOM,2.0,%/year,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",
HVDC overhead,investment,432.97,EUR/MW/km,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",
HVDC overhead,lifetime,40.0,years,"Hagspiel et al. (2014): doi:10.1016/j.energy.2014.01.025 , table A.2 .",
HVDC submarine,FOM,0.35,%/year,Purvins et al. (2018): https://doi.org/10.1016/j.jclepro.2018.03.095 .,"Based on estimated costs for a NA-EU connector (bidirectional,4 GW, 3000km length and ca. 3000m depth). Costs in return based on existing/currently under construction undersea cables."
HVDC submarine,investment,471.16,EUR/MW/km,Purvins et al. (2018): https://doi.org/10.1016/j.jclepro.2018.03.095 .,"Based on estimated costs for a NA-EU connector (bidirectional,4 GW, 3000km length and ca. 3000m depth). Costs in return based on existing/currently under construction undersea cables."
HVDC submarine,lifetime,40.0,years,Purvins et al. (2018): https://doi.org/10.1016/j.jclepro.2018.03.095 .,"Based on estimated costs for a NA-EU connector (bidirectional,4 GW, 3000km length and ca. 3000m depth). Costs in return based on existing/currently under construction undersea cables."
Haber-Bosch,FOM,3.0,%/year,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",103 Hydrogen to Ammonia:  Fixed O&M
Haber-Bosch,VOM,0.02,EUR/MWh_NH3,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",103 Hydrogen to Ammonia:  Variable O&M
Haber-Bosch,electricity-input,0.25,MWh_el/MWh_NH3,"DECHEMA 2017: DECHEMA: Low carbon energy and feedstock for the European chemical industry (https://dechema.de/dechema_media/Downloads/Positionspapiere/Technology_study_Low_carbon_energy_and_feedstock_for_the_European_chemical_industry.pdf), table 11.",Assume 5 GJ/t_NH3 for compressors and NH3 LHV = 5.16666 MWh/t_NH3.
Haber-Bosch,hydrogen-input,1.15,MWh_H2/MWh_NH3,"DECHEMA 2017: DECHEMA: Low carbon energy and feedstock for the European chemical industry (https://dechema.de/dechema_media/Downloads/Positionspapiere/Technology_study_Low_carbon_energy_and_feedstock_for_the_European_chemical_industry.pdf), pg. 57.","178 kg_H2 per t_NH3, LHV for both assumed."
Haber-Bosch,investment,813.55,EUR/kW_NH3,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",103 Hydrogen to Ammonia:  Specific investment
Haber-Bosch,lifetime,30.0,years,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx",103 Hydrogen to Ammonia:  Technical lifetime
Haber-Bosch,nitrogen-input,0.16,t_N2/MWh_NH3,"DECHEMA 2017: DECHEMA: Low carbon energy and feedstock for the European chemical industry (https://dechema.de/dechema_media/Downloads/Positionspapiere/Technology_study_Low_carbon_energy_and_feedstock_for_the_European_chemical_industry.pdf), pg. 57.",".33 MWh electricity are required for ASU per t_NH3, considering 0.4 MWh are required per t_N2 and LHV of NH3 of 5.1666 Mwh."
HighT-Molten-Salt-charger,FOM,1.08,%/year,"Viswanathan_2022, NULL","{'carrier': ['elec', 'salthight'], 'technology_type': ['charger'], 'type': ['thermal'], 'note': ['Guesstimate, 50% on charger']}"
HighT-Molten-Salt-charger,efficiency,0.99,per unit,"Viswanathan_2022, p.107 (p.129)","{'carrier': ['elec', 'salthight'], 'technology_type': ['charger'], 'type': ['thermal'], 'note': ['RTE assume 99% for charge and other for discharge']}"
HighT-Molten-Salt-charger,investment,130599.38,EUR/MW,"Georgiou_2018, Guesstimate that charge is 20% of capital costs of power components for sensible thermal storage","{'carrier': ['elec', 'salthight'], 'technology_type': ['charger'], 'type': ['thermal'], 'note': ['Power Equipment Charge']}"
HighT-Molten-Salt-charger,lifetime,35.0,years,"Viswanathan_2022, p.107 (p.129)","{'carrier': ['elec', 'salthight'], 'technology_type': ['charger'], 'type': ['thermal'], 'note': ['NULL']}"
HighT-Molten-Salt-discharger,FOM,0.27,%/year,"Viswanathan_2022, NULL","{'carrier': ['salthight', 'elec'], 'technology_type': ['discharger'], 'type': ['thermal'], 'note': ['Guesstimate, 50% on discharger']}"
HighT-Molten-Salt-discharger,efficiency,0.44,per unit,"Viswanathan_2022, p.107 (p.129)","{'carrier': ['salthight', 'elec'], 'technology_type': ['discharger'], 'type': ['thermal'], 'note': ['RTE assume 99% for charge and other for discharge']}"
HighT-Molten-Salt-discharger,investment,522397.52,EUR/MW,"Georgiou_2018, Guesstimate that charge is 80% of capital costs of power components for sensible thermal storage","{'carrier': ['salthight', 'elec'], 'technology_type': ['discharger'], 'type': ['thermal'], 'note': ['Power Equipment Discharge']}"
HighT-Molten-Salt-discharger,lifetime,35.0,years,"Viswanathan_2022, p.107 (p.129)","{'carrier': ['salthight', 'elec'], 'technology_type': ['discharger'], 'type': ['thermal'], 'note': ['NULL']}"
HighT-Molten-Salt-store,FOM,0.33,%/year,"Viswanathan_2022, p 104 (p.126)","{'carrier': ['salthight'], 'technology_type': ['store'], 'type': ['thermal'], 'note': ['not provided calculated as for hydrogen']}"
HighT-Molten-Salt-store,investment,85236.11,EUR/MWh,"Viswanathan_2022, p.98 (p.120)","{'carrier': ['salthight'], 'technology_type': ['store'], 'type': ['thermal'], 'note': ['SB and BOS 0.85 of 2021 value']}"
HighT-Molten-Salt-store,lifetime,35.0,years,"Viswanathan_2022, p.107 (p.129)","{'carrier': ['salthight'], 'technology_type': ['store'], 'type': ['thermal'], 'note': ['NULL']}"
Hydrogen-charger,FOM,0.63,%/year,"Viswanathan_2022, NULL","{'carrier': ['elec', 'h2cavern'], 'technology_type': ['charger'], 'type': ['electrochemical'], 'note': ['Guesstimate, 50% on charger']}"
Hydrogen-charger,efficiency,0.7,per unit,"Viswanathan_2022, p.111 (p.133) include inverter 0.98 & transformer efficiency 0.98 ","{'carrier': ['elec', 'h2cavern'], 'technology_type': ['charger'], 'type': ['electrochemical'], 'note': ['Electrolyzer']}"
Hydrogen-charger,investment,314443.31,EUR/MW,"Viswanathan_2022, p.113 (p.135)","{'carrier': ['elec', 'h2cavern'], 'technology_type': ['charger'], 'type': ['electrochemical'], 'note': ['Electrolyzer']}"
Hydrogen-charger,lifetime,30.0,years,"Viswanathan_2022, p.111 (p.133)","{'carrier': ['elec', 'h2cavern'], 'technology_type': ['charger'], 'type': ['electrochemical'], 'note': ['NULL']}"
Hydrogen-discharger,FOM,0.58,%/year,"Viswanathan_2022, NULL","{'carrier': ['h2cavern', 'elec'], 'technology_type': ['discharger'], 'type': ['electrochemical'], 'note': ['Guesstimate, 50% on discharger']}"
Hydrogen-discharger,efficiency,0.49,per unit,"Viswanathan_2022, p.111 (p.133) include inverter 0.98 & transformer efficiency 0.98 ","{'carrier': ['h2cavern', 'elec'], 'technology_type': ['discharger'], 'type': ['electrochemical'], 'note': ['Fuel Cell']}"
Hydrogen-discharger,investment,343278.72,EUR/MW,"Viswanathan_2022, p.113 (p.135)","{'carrier': ['h2cavern', 'elec'], 'technology_type': ['discharger'], 'type': ['electrochemical'], 'note': ['Fuel Cell']}"
Hydrogen-discharger,lifetime,30.0,years,"Viswanathan_2022, p.111 (p.133)","{'carrier': ['h2cavern', 'elec'], 'technology_type': ['discharger'], 'type': ['electrochemical'], 'note': ['NULL']}"
Hydrogen-store,FOM,0.43,%/year,"Viswanathan_2022, 0.43 % of SB =(C38+C39)*0.43/4","{'carrier': ['h2cavern'], 'technology_type': ['store'], 'type': ['electrochemical'], 'note': ['derived']}"
Hydrogen-store,investment,4329.35,EUR/MWh,"Viswanathan_2022, p.113 (p.135)","{'carrier': ['h2cavern'], 'technology_type': ['store'], 'type': ['electrochemical'], 'note': ['Cavern Storage']}"
Hydrogen-store,lifetime,30.0,years,"Viswanathan_2022, p.111 (p.133)","{'carrier': ['h2cavern'], 'technology_type': ['store'], 'type': ['electrochemical'], 'note': ['NULL']}"
LNG storage tank,FOM,2.0,%/year,"Guesstimate, based on H2 (l) storage tank with comparable requirements.",Currency year and technology year assumed based on publication date.
LNG storage tank,investment,611.59,EUR/m^3,"Hurskainen 2019, https://cris.vtt.fi/en/publications/liquid-organic-hydrogen-carriers-lohc-concept-evaluation-and-tech pg. 46 (59).",Currency year and technology year assumed based on publication date.
LNG storage tank,lifetime,20.0,years,"Guesstimate, based on H2 (l) storage tank with comparable requirements.",Currency year and technology year assumed based on publication date.
LOHC chemical,investment,2264.33,EUR/t,"Runge et al 2020, pg.7, https://papers.ssrn.com/abstract=3623514",
LOHC chemical,lifetime,20.0,years,"Runge et al 2020, pg.7, https://papers.ssrn.com/abstract=3623514",
LOHC dehydrogenation,FOM,3.0,%/year,"Reuß et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9.",
LOHC dehydrogenation,investment,50728.03,EUR/MW_H2,"Reuß et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9.",per MW H2 (LHV). For a large plant of 1000 MW capacity. Calculated based on base CAPEX of 30 MEUR for 300 t/day capacity and a scale factor of 0.6.
LOHC dehydrogenation,lifetime,20.0,years,"Reuß et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9.",
LOHC dehydrogenation (small scale),FOM,3.0,%/year,"Runge et al 2020, pg.8, https://papers.ssrn.com/abstract=3623514",
LOHC dehydrogenation (small scale),investment,759908.15,EUR/MW_H2,"Runge et al 2020, pg.8, https://papers.ssrn.com/abstract=3623514",MW of H2 LHV. For a small plant of 0.9 MW capacity.
LOHC dehydrogenation (small scale),lifetime,20.0,years,"Runge et al 2020, pg.8, https://papers.ssrn.com/abstract=3623514",
LOHC hydrogenation,FOM,3.0,%/year,"Reuß et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9.",
LOHC hydrogenation,electricity-input,0.0,MWh_el/t_HLOHC,Niermann et al. (2019): (https://doi.org/10.1039/C8EE02700E). 6A .,"Flow in figures shows 0.2 MW for 114 MW_HHV = 96.4326 MW_LHV = 2.89298 t hydrogen. At 5.6 wt-% effective H2 storage for loaded LOHC (H18-DBT, HLOHC), corresponds to 51.6604 t loaded LOHC ."
LOHC hydrogenation,hydrogen-input,1.87,MWh_H2/t_HLOHC,"Runge et al 2020, pg. 7, https://papers.ssrn.com/abstract=3623514",Considering 5.6 wt-% H2 in loaded LOHC (HLOHC) and LHV of H2.
LOHC hydrogenation,investment,51259.54,EUR/MW_H2,"Reuß et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9.",per MW H2 (LHV). For a large plant of 2000 MW capacity. Calculated based on base CAPEX of 40 MEUR for 300 t/day capacity and a scale factor of 0.6.
LOHC hydrogenation,lifetime,20.0,years,"Reuß et al 2017, https://doi.org/10.1016/j.apenergy.2017.05.050 , Table 9.",
LOHC hydrogenation,lohc-input,0.94,t_LOHC/t_HLOHC,"Runge et al 2020, pg. 7, https://papers.ssrn.com/abstract=3623514","Loaded LOHC (H18-DBT, HLOHC) has loaded only 5.6%-wt H2 as rate of discharge is kept at ca. 90%."
LOHC loaded DBT storage,FOM,6.25,%/year,,"Based on storage “General liquid hydrocarbon storage (crude)”, as similar properties are shared."
LOHC loaded DBT storage,investment,149.27,EUR/t,"Density via Wissenschaftliche Dienste des Deutschen Bundestages 2020, https://www.bundestag.de/resource/blob/816048/454e182d5956d45a664da9eb85486f76/WD-8-058-20-pdf-data.pdf , pg. 11.","Based on storage “General liquid hydrocarbon storage (crude)”, as similar properties are shared. Density of loaded LOHC H18-DBT is 0.91 t/m^3."
LOHC loaded DBT storage,lifetime,30.0,years,,"Based on storage “General liquid hydrocarbon storage (crude)”, as similar properties are shared."
LOHC transport ship,FOM,5.0,%/year,"Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514",
LOHC transport ship,capacity,75000.0,t_LOHC,"Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514",
LOHC transport ship,investment,31700578.34,EUR,"Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514",
LOHC transport ship,lifetime,15.0,years,"Runge et al 2020, Table 10, https://papers.ssrn.com/abstract=3623514",
LOHC unloaded DBT storage,FOM,6.25,%/year,,"Based on storage “General liquid hydrocarbon storage (crude)”, as similar properties are shared."
LOHC unloaded DBT storage,investment,132.26,EUR/t,"Density via Wissenschaftliche Dienste des Deutschen Bundestages 2020, https://www.bundestag.de/resource/blob/816048/454e182d5956d45a664da9eb85486f76/WD-8-058-20-pdf-data.pdf , pg. 11.","Based on storage “General liquid hydrocarbon storage (crude)”, as similar properties are shared. Density of loaded LOHC H18-DBT is 0.91 t/m^3, density of unloaded LOHC H0-DBT is 1.04 t/m^3 but unloading is only to 90% (depth-of-discharge), assume density via linearisation of 1.027 t/m^3."
LOHC unloaded DBT storage,lifetime,30.0,years,,"Based on storage “General liquid hydrocarbon storage (crude)”, as similar properties are shared."
Lead-Acid-bicharger,FOM,2.44,%/year,"Viswanathan_2022, p.28 (p.50)","{'carrier': ['elec', 'lead', 'elec'], 'technology_type': ['bicharger'], 'type': ['electrochemical'], 'note': ['30% assumed of power components every 10 years']}"
Lead-Acid-bicharger,efficiency,0.88,per unit,"Viswanathan_2022, p.33 (p.55)","{'carrier': ['elec', 'lead', 'elec'], 'technology_type': ['bicharger'], 'type': ['electrochemical'], 'note': ['AC-AC efficiency at transformer level 0.78^0.5']}"
Lead-Acid-bicharger,investment,116706.69,EUR/MW,"Viswanathan_2022, p.33 (p.55)","{'carrier': ['elec', 'lead', 'elec'], 'technology_type': ['bicharger'], 'type': ['electrochemical'], 'note': ['Power Equipment']}"
Lead-Acid-bicharger,lifetime,12.0,years,"Viswanathan_2022, p.33 (p.55)","{'carrier': ['elec', 'lead', 'elec'], 'technology_type': ['bicharger'], 'type': ['electrochemical'], 'note': ['NULL']}"
Lead-Acid-store,FOM,0.25,%/year,"Viswanathan_2022, p.28 (p.50)","{'carrier': ['lead'], 'technology_type': ['store'], 'type': ['electrochemical'], 'note': ['0.43 % of SB']}"
Lead-Acid-store,investment,290405.72,EUR/MWh,"Viswanathan_2022, p.33 (p.55)","{'carrier': ['lead'], 'technology_type': ['store'], 'type': ['electrochemical'], 'note': ['DC storage block']}"
Lead-Acid-store,lifetime,12.0,years,"Viswanathan_2022, p.33 (p.55)","{'carrier': ['lead'], 'technology_type': ['store'], 'type': ['electrochemical'], 'note': ['NULL']}"
Liquid-Air-charger,FOM,0.37,%/year,"Viswanathan_2022, NULL","{'carrier': ['elec', 'lair'], 'technology_type': ['charger'], 'type': ['thermal'], 'note': ['Guesstimate, 50% on charger']}"
Liquid-Air-charger,efficiency,0.99,per unit,"Viswanathan_2022, NULL","{'carrier': ['elec', 'lair'], 'technology_type': ['charger'], 'type': ['thermal'], 'note': ['NULL']}"
Liquid-Air-charger,investment,430875.37,EUR/MW,"Georgiou_2018, Figure 9 of reference roughly 80% of capital cost are power related 47%/80% of costs are required for liquefaction (charging)","{'carrier': ['elec', 'lair'], 'technology_type': ['charger'], 'type': ['thermal'], 'note': ['Power Equipment Charge']}"
Liquid-Air-charger,lifetime,35.0,years,"Viswanathan_2022, p.107 (p.129)","{'carrier': ['elec', 'lair'], 'technology_type': ['charger'], 'type': ['thermal'], 'note': ['NULL']}"
Liquid-Air-discharger,FOM,0.52,%/year,"Viswanathan_2022, NULL","{'carrier': ['lair', 'elec'], 'technology_type': ['discharger'], 'type': ['thermal'], 'note': ['Guesstimate, 50% on discharger']}"
Liquid-Air-discharger,efficiency,0.55,per unit,"Viswanathan_2022, p.107 (p.129)","{'carrier': ['lair', 'elec'], 'technology_type': ['discharger'], 'type': ['thermal'], 'note': ['RTE 0.545 assume 99% for charge and other for discharge']}"
Liquid-Air-discharger,investment,302529.52,EUR/MW,"Georgiou_2018, NULL","{'carrier': ['lair', 'elec'], 'technology_type': ['discharger'], 'type': ['thermal'], 'note': ['Power Equipment Discharge']}"
Liquid-Air-discharger,lifetime,35.0,years,"Viswanathan_2022, p.107 (p.129)","{'carrier': ['lair', 'elec'], 'technology_type': ['discharger'], 'type': ['thermal'], 'note': ['NULL']}"
Liquid-Air-store,FOM,0.32,%/year,"Viswanathan_2022, p 104 (p.126)","{'carrier': ['lair'], 'technology_type': ['store'], 'type': ['thermal'], 'note': ['not provided calculated as for hydrogen']}"
Liquid-Air-store,investment,144015.52,EUR/MWh,"Viswanathan_2022, p.98 (p.120)","{'carrier': ['lair'], 'technology_type': ['store'], 'type': ['thermal'], 'note': ['Liquid Air SB and BOS']}"
Liquid-Air-store,lifetime,35.0,years,"Viswanathan_2022, p.107 (p.129)","{'carrier': ['lair'], 'technology_type': ['store'], 'type': ['thermal'], 'note': ['NULL']}"
Lithium-Ion-LFP-bicharger,FOM,2.12,%/year,"Viswanathan_2022, p.28 (p.50)","{'carrier': ['elec', 'lfp', 'elec'], 'technology_type': ['bicharger'], 'type': ['electrochemical'], 'note': ['30% assumed of power components every 10 years']}"
Lithium-Ion-LFP-bicharger,efficiency,0.92,per unit,"Viswanathan_2022, p.24 (p.46)","{'carrier': ['elec', 'lfp', 'elec'], 'technology_type': ['bicharger'], 'type': ['electrochemical'], 'note': ['AC-AC efficiency at transformer level 0.8452^0.5']}"
Lithium-Ion-LFP-bicharger,investment,73865.5,EUR/MW,"Viswanathan_2022, p.24 (p.46)","{'carrier': ['elec', 'lfp', 'elec'], 'technology_type': ['bicharger'], 'type': ['electrochemical'], 'note': ['Power Equipment']}"
Lithium-Ion-LFP-bicharger,lifetime,16.0,years,"Viswanathan_2022, p.24 (p.46)","{'carrier': ['elec', 'lfp', 'elec'], 'technology_type': ['bicharger'], 'type': ['electrochemical'], 'note': ['NULL']}"
Lithium-Ion-LFP-store,FOM,0.04,%/year,"Viswanathan_2022, p.28 (p.50)","{'carrier': ['lfp'], 'technology_type': ['store'], 'type': ['electrochemical'], 'note': ['0.43 % of SB']}"
Lithium-Ion-LFP-store,investment,214189.77,EUR/MWh,"Viswanathan_2022, p.24 (p.46)","{'carrier': ['lfp'], 'technology_type': ['store'], 'type': ['electrochemical'], 'note': ['DC storage block']}"
Lithium-Ion-LFP-store,lifetime,16.0,years,"Viswanathan_2022, p.24 (p.46)","{'carrier': ['lfp'], 'technology_type': ['store'], 'type': ['electrochemical'], 'note': ['NULL']}"
Lithium-Ion-NMC-bicharger,FOM,2.12,%/year,"Viswanathan_2022, p.28 (p.50)","{'carrier': ['elec', 'nmc', 'elec'], 'technology_type': ['bicharger'], 'type': ['electrochemical'], 'note': ['30% assumed of power components every 10 years']}"
Lithium-Ion-NMC-bicharger,efficiency,0.92,per unit,"Viswanathan_2022, p.24 (p.46)","{'carrier': ['elec', 'nmc', 'elec'], 'technology_type': ['bicharger'], 'type': ['electrochemical'], 'note': ['AC-AC efficiency at transformer level 0.8452^0.5']}"
Lithium-Ion-NMC-bicharger,investment,73865.5,EUR/MW,"Viswanathan_2022, p.24 (p.46)","{'carrier': ['elec', 'nmc', 'elec'], 'technology_type': ['bicharger'], 'type': ['electrochemical'], 'note': ['Power Equipment']}"
Lithium-Ion-NMC-bicharger,lifetime,13.0,years,"Viswanathan_2022, p.24 (p.46)","{'carrier': ['elec', 'nmc', 'elec'], 'technology_type': ['bicharger'], 'type': ['electrochemical'], 'note': ['NULL']}"
Lithium-Ion-NMC-store,FOM,0.04,%/year,"Viswanathan_2022, p.28 (p.50)","{'carrier': ['nmc'], 'technology_type': ['store'], 'type': ['electrochemical'], 'note': ['0.43 % of SB']}"
Lithium-Ion-NMC-store,investment,244164.06,EUR/MWh,"Viswanathan_2022, p.24 (p.46)","{'carrier': ['nmc'], 'technology_type': ['store'], 'type': ['electrochemical'], 'note': ['DC storage block']}"
Lithium-Ion-NMC-store,lifetime,13.0,years,"Viswanathan_2022, p.24 (p.46)","{'carrier': ['nmc'], 'technology_type': ['store'], 'type': ['electrochemical'], 'note': ['NULL']}"
LowT-Molten-Salt-charger,FOM,1.08,%/year,"Viswanathan_2022, NULL","{'carrier': ['elec', 'saltlowt'], 'technology_type': ['charger'], 'type': ['thermal'], 'note': ['Guesstimate, 50% on charger']}"
LowT-Molten-Salt-charger,efficiency,0.99,per unit,"Viswanathan_2022, p.107 (p.129)","{'carrier': ['elec', 'saltlowt'], 'technology_type': ['charger'], 'type': ['thermal'], 'note': ['RTE assume 99% for charge and other for discharge']}"
